artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Xdinary Heroes,Night before the end,3qtZrgkFMtdSCH5DWyNIOL,40,1khChLj7REGqjM043PlYyn,63,['k-pop boy group'],1131754,0.425,0.615,-3.483,0.0506,0.0445,0.0,0.0862,0.151,200.075,205572,3
ITZY,GOLD (English Ver.),57zypVDrqyXAJhnfvd3v8j,34,2KC9Qb60EaY0kW4eH68vr3,73,"['k-pop', 'k-pop girl group']",7864098,0.688,0.92,-1.57,0.261,0.0394,0.0,0.174,0.382,168.061,187213,4
Gunna,one of wun,4Na2HfNSr58chvfX69fy36,84,2hlmm7s2ICUX0LVIhVFlZQ,88,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8373781,0.915,0.453,-4.589,0.27,0.0872,0.000163,0.104,0.287,139.943,144000,4
ECLIPSE,Run Run,5EBtIi8j2ARUCwxzB5gc82,60,5Nw7qx3NoHzpw59WYcJTve,60,[],262289,0.604,0.817,-3.24,0.0452,0.016,0.0,0.419,0.625,131.985,214681,4
XG,IYKYK,0Gl9pXfGTU8eAnEbcka6AV,66,0LOK81e9H5lr61HlGGHqwA,74,['k-pop girl group'],1834653,0.708,0.847,-5.969,0.0623,0.0255,1.87e-06,0.36,0.706,129.877,180000,4
ONEW,MAESTRO,6waMyYYhkiFHg0hPd2luQo,44,7sZ5ipSoboWdqXkdj6AXHo,51,['k-pop'],449504,0.735,0.692,-4.967,0.0394,0.0246,5.19e-06,0.162,0.7,120.985,177613,4
MAX,IT'S YOU (feat. keshi),1hWDc5jD5br9pXSOtubFlf,66,1bqxdqvUtPWZri43cKHac8,68,"['singer-songwriter pop', 'teen pop', 'viral pop']",926213,0.663,0.328,-11.579,0.0601,0.85,0.00019,0.141,0.446,89.892,173427,4
Gfatss,Enter The Chat,7qSevz5nctdAT9R7VgLtwW,49,0fjo5vN8VElasFainqjJTU,41,[],1103,0.787,0.815,-2.773,0.308,0.11,0.0,0.325,0.329,144.041,133392,4
dori,Broken,7q1SstPCIF4ZYCqZLWrunR,43,4Db1gte7TUAeZyRdo4FLE7,50,[],49823,0.572,0.633,-5.162,0.0305,0.0612,0.0,0.13,0.292,72.022,195690,4
ONEW,Focus,2SEL1f28vb92CZV9riTT9D,41,7sZ5ipSoboWdqXkdj6AXHo,51,['k-pop'],449504,0.561,0.392,-7.032,0.0353,0.447,1.15e-06,0.138,0.151,129.893,140067,4
SEVENTEEN,Super,3ZpfXyQgcqdSA1TGNc7Ret,65,7nqOGRxlXj7N2JYbgNEjYH,82,"['k-pop', 'k-pop boy group']",12464291,0.771,0.88,-4.091,0.0857,0.162,1.41e-06,0.167,0.347,137.018,200387,4
Linkin Park,Over Each Other,3k4gjmYNJugQRlh2aounZ9,79,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.55,0.789,-4.634,0.0382,0.00241,0.0,0.428,0.317,147.947,170445,4
DOYOUNG,Beginning,7BIKVETLdqi8hWKPVKTtMo,51,5IMXUzbeAyevQmvtOhXQGi,58,['k-pop'],816633,0.328,0.568,-5.037,0.0365,0.654,0.0,0.0988,0.479,84.809,208560,4
