danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.702,0.719,-3.264,0.0372,0.0296,2.98e-06,0.0914,0.916,128.027,0hfJNGh9nLKhd0RHvpDcUs,179427,4
0.688,0.518,-4.285,0.0283,0.0642,0.0,0.1,0.314,116.714,0W4NhJhcqKCqEP2GIpDCDq,255333,4
0.792,0.647,-8.314,0.045,0.255,0.000223,0.132,0.694,102.477,0aJrYfARfCKzv6gXjhs4SZ,209547,4
0.548,0.815,-5.218,0.0409,0.0175,8.9e-06,0.127,0.212,129.963,1dpXikU9kSyxm1mKulwHws,191733,4
0.697,0.859,-5.306,0.19,0.0349,0.0,0.0931,0.696,93.78,3NkIfsiFHnljGrlXSD2AJ3,222387,4
0.258,0.933,-4.2,0.0678,0.000644,1.76e-06,0.97,0.355,168.157,2NsTDsICai2vfaAVqxial8,216649,4
0.775,0.896,-3.445,0.0901,0.017,0.0,0.0492,0.86,109.929,3oyBjanJeqPz5cOMDedCyl,170000,4
0.537,0.674,-5.134,0.0277,0.0088,0.0,0.265,0.33,136.002,4bVuIlGQBMWS7vIhcx8Ae4,214107,4
0.375,0.668,-4.83,0.0357,0.000309,2.95e-05,0.14,0.219,156.08,5zXCrjl0ygKMWd4hS1YQCL,281987,4
0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,30cSNer6TV8x2utjULVeQ5,238920,4
0.552,0.836,-5.608,0.0453,0.00942,0.0,0.372,0.432,140.496,6fTgbkBiMITtHUmik95ClX,208280,4
0.588,0.391,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069,13xxBnXOuiBxVxJI458B0i,226973,4
0.748,0.786,-7.788,0.0641,0.328,0.0,0.34,0.917,104.833,0qAMjeQFyd1qD0LDiV8gWp,172373,4
0.866,0.537,-5.786,0.0335,0.053,0.0156,0.0866,0.643,111.987,1vxw6aYJls2oq3gW0DujAo,177933,4
0.906,0.624,-5.556,0.179,0.000185,6.21e-06,0.0608,0.775,84.009,0Eu5SrReZzaJX0NLKI8tQS,274947,4
0.448,0.508,-6.153,0.0276,0.111,8.09e-05,0.113,0.236,83.241,5dPfweC4kFNvS45Hke0FBF,238227,4
0.562,0.934,-5.562,0.0607,0.00211,0.0,0.199,0.558,103.042,5gB2IrxOCX2j9bMnHKP38i,275640,4
0.714,0.67,-6.053,0.0445,0.341,1.89e-06,0.0772,0.771,82.008,1G32fy7VMCDLl92iGXvBEm,204267,4
0.77,0.609,-5.894,0.345,0.214,0.0,0.166,0.631,90.952,7K2IeEefMiK8sDL8RBvXw2,241307,4
0.59,0.562,-5.8,0.029,0.327,0.0,0.135,0.271,119.429,0p9sEGpxxooSZCjfKrWcZy,227027,4
0.501,0.468,-8.494,0.0507,0.31,2.04e-06,0.0923,0.712,105.769,7707HOYVAMYlG9VJB60SW9,198373,4
0.792,0.589,-6.869,0.262,0.0259,0.000128,0.114,0.778,157.147,0tYPj0NYa7vjlJaqlRSnJb,207587,4
0.8,0.502,-6.062,0.0371,0.00167,0.0,0.0784,0.388,115.091,5F7IJrXD6Fa3EmqoYE0gU4,289760,4
0.967,0.583,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0,0O45fw2L5vsWpdsOdXwNAR,242733,4
0.537,0.882,-2.306,0.0403,0.00035,9.06e-05,0.12,0.81,145.73,1pHP4JeQV9wDx87D6qH9hD,179813,4
0.421,0.799,-5.183,0.0562,0.00871,1.63e-05,0.0794,0.731,82.407,6BxGP8hwjuKKka0J7vvtEd,221720,4
0.72,0.548,-4.805,0.0291,0.00269,0.000118,0.0511,0.709,99.004,58ZvuqZgeuZMCbpCsH9E76,211693,4
0.674,0.646,-5.876,0.027,0.486,8.37e-05,0.262,0.613,148.1,1qHRFZE8qykNXYZadzmi1m,209320,4
0.404,0.571,-5.069,0.0303,0.182,2.08e-05,0.129,0.29,147.01,2WZyfujzMweFLnozyUJBkW,245933,4
0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.222,0.236,96.95,5wQnmLuC1W7ATsArWACrgW,311107,4
0.447,0.694,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868,6RX5iL93VZ5fKmyvNXvF1r,227853,4
0.43,0.956,-1.019,0.272,0.0313,0.0,0.315,0.436,105.678,0oi3XBxDxpo6S0NUSOnU1G,223080,4
0.871,0.871,-6.328,0.139,0.0469,0.00114,0.0543,0.811,116.946,2aI21FnmY7TJVKeMaoQZ0t,223080,4
0.641,0.765,-6.626,0.0383,0.000975,0.0,0.387,0.19,91.009,7qFxSPDUDMQNGBqTvK4aEj,240613,4
0.704,0.854,-5.477,0.183,0.0185,0.0,0.148,0.688,92.988,1zyqZONW985Cs4osz9wlsu,242587,4
0.735,0.839,-4.705,0.271,0.0534,0.0,0.0942,0.834,89.942,0447V6bjlw5ERYGu3BEBnB,223813,4
0.527,0.503,-6.769,0.0252,0.0971,1.98e-05,0.107,0.305,137.021,0AezqhM99T5CS0mrEz3OM3,280867,4
0.621,0.6,-6.349,0.576,0.277,0.0,0.495,0.485,80.021,0AA6zq5ArZ1sSH7VIMi4NK,253707,4
0.897,0.738,-5.314,0.228,0.0166,0.0,0.0573,0.798,133.966,4PgtB6Sul8WDTRZCe5e8St,213373,4
0.709,0.891,-3.688,0.0528,0.00144,0.0,0.034,0.886,141.04,1iOJQhxKSJ7dg3Dk03yPnl,214387,4
0.764,0.751,-3.74,0.0703,0.00554,0.000237,0.164,0.418,91.977,2HWWNoWEEEECwZhAiLg7ib,199853,4
0.48,0.621,-4.814,0.0372,0.206,0.0,0.134,0.713,207.676,4ivFqlhL0Dvu6Q9XZkqsPF,237120,4
0.527,0.503,-6.769,0.0252,0.0971,1.98e-05,0.107,0.305,137.021,0AezqhM99T5CS0mrEz3OM3,280867,4
0.606,0.591,-7.228,0.087,0.0756,0.0,0.328,0.477,95.802,1MBM7CyZbwJpVbbZJnHHRg,252973,4
0.803,0.852,-2.429,0.0357,0.00484,0.000331,0.0576,0.878,113.998,3PNOYDruQplC92lNc7mE9W,211080,4
